This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
/ 10000.0000	0.10000	10000	1.0000
10000.0000	0.20000	10000	1.0000
10000.0000	0.30000	10000	1.0000
10000.0000	0.40000	10000	1.0000
10000.0000	0.50000	10000	1.0000
10000.0000	0.60000	10000	1.0000
10000.0000	0.70000	10000	1.0000
10000.0000	0.80000	10000	1.0000
10000.0000	0.90000	10000	1.0000
10000.0000	1.00000	10000	1.0000
10000.0000	1.10000	10000	1.0000
10000.0000	1.20000	10000	1.0000
10000.0000	1.30000	10000	1.0000
10000.0000	1.40000	10000	1.0000
10000.0000	1.50000	10000	1.0000
10000.0000	1.60000	10000	1.0000
10000.0000	1.70000	10000	1.0000
10000.0000	1.80000	10000	1.0000
10000.0000	1.90000	10000	1.0000
10000.0000	2.00000	10000	1.0000
10000.0000	2.10000	10000	1.0000
10000.0000	2.20000	10000	1.0000
10000.0000	2.30000	10000	1.0000
10000.0000	2.40000	10000	1.0000
10000.0000	2.50000	10000	1.0000
10000.0000	2.60000	10000	1.0000
10000.0000	2.70000	10000	1.0000
10000.0000	2.80000	10000	1.0000
10000.0000	2.90000	10000	1.0000
10000.0000	3.00000	10000	1.0000
10000.0000	3.10000	10000	1.0000
10000.0000	3.20000	10000	1.0000
10000.0000	3.30000	10000	1.0000
10000.0000	3.40000	10000	1.0000
10000.0000	3.50000	10000	1.0000
10000.0000	3.60000	10000	1.0000
10000.0000	3.70000	10000	1.0000
10000.0000	3.80000	10000	1.0000
10000.0000	3.90000	10000	1.0000
10000.0000	4.00000	10000	1.0000
10000.0000	4.10000	10000	1.0000
10000.0000	4.20000	10000	1.0000
10000.0000	4.30000	10000	1.0000
10000.0000	4.40000	10000	1.0000
10000.0000	4.50000	10000	1.0000
10000.0000	4.60000	10000	1.0000
10000.0000	4.70000	10000	1.0000
10000.0000	4.80000	10000	1.0000
10000.0000	4.90000	10000	1.0000
10000.0000	5.00000	10000	1.0000
10000.0000	0.00000	10000	1.0000
