This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
199	0	10000	1
161	1.8	10000	1
199	0	10000	1
161	1.9	10000	1
199	0	10000	1
161	2	10000	1
199	0	10000	1
194	0.1	10000	1
199	0	10000	1
194	0.2	10000	1
199	0	10000	1
194	0.3	10000	1
199	0	10000	1
194	0.4	10000	1
199	0	10000	1
194	0.5	10000	1
199	0	10000	1
194	0.6	10000	1
199	0	10000	1
194	0.7	10000	1
199	0	10000	1
194	0.8	10000	1
199	0	10000	1
194	0.9	10000	1
199	0	10000	1
194	1	10000	1
199	0	10000	1
194	1.1	10000	1
199	0	10000	1
194	1.2	10000	1
199	0	10000	1
194	1.3	10000	1
199	0	10000	1
194	1.4	10000	1
199	0	10000	1
194	1.5	10000	1
199	0	10000	1
194	1.6	10000	1
199	0	10000	1
194	1.7	10000	1
199	0	10000	1
194	1.8	10000	1
199	0	10000	1
194	1.9	10000	1
199	0	10000	1
194	2	10000	1
199	0	10000	1
229	0.1	10000	1
199	0	10000	1
229	0.2	10000	1
199	0	10000	1
229	0.3	10000	1
199	0	10000	1
229	0.4	10000	1
199	0	10000	1
229	0.5	10000	1
199	0	10000	1
229	0.6	10000	1
199	0	10000	1
229	0.7	10000	1
199	0	10000	1
229	0.8	10000	1
199	0	10000	1
229	0.9	10000	1
199	0	10000	1
229	1	10000	1
199	0	10000	1
229	1.1	10000	1
199	0	10000	1
229	1.2	10000	1
199	0	10000	1
229	1.3	10000	1
199	0	10000	1
229	1.4	10000	1
199	0	10000	1
229	1.5	10000	1
199	0	10000	1
229	1.6	10000	1
199	0	10000	1
229	1.7	10000	1
199	0	10000	1
229	1.8	10000	1
199	0	10000	1
229	1.9	10000	1
199	0	10000	1
229	2	10000	1
199	0	10000	1
263	0.1	10000	1
199	0	10000	1
263	0.2	10000	1
199	0	10000	1
263	0.3	10000	1
199	0	10000	1
263	0.4	10000	1
199	0	10000	1
263	0.5	10000	1
199	0	10000	1
263	0.6	10000	1
199	0	10000	1
263	0.7	10000	1
199	0	10000	1
263	0.8	10000	1
199	0	10000	1
263	0.9	10000	1
199	0	10000	1
263	1	10000	1
199	0	10000	1
263	1.1	10000	1
199	0	10000	1
263	1.2	10000	1
199	0	10000	1
263	1.3	10000	1
199	0	10000	1
263	1.4	10000	1
199	0	10000	1
263	1.5	10000	1
199	0	10000	1
263	1.6	10000	1
199	0	10000	1
263	1.7	10000	1
199	0	10000	1
263	1.8	10000	1
199	0	10000	1
263	1.9	10000	1
199	0	10000	1
263	2	10000	1
199	0	10000	1
300	0.1	10000	1
199	0	10000	1
300	0.2	10000	1
199	0	10000	1
300	0.3	10000	1
199	0	10000	1
300	0.4	10000	1
199	0	10000	1
300	0.5	10000	1
199	0	10000	1
300	0.6	10000	1
199	0	10000	1
300	0.7	10000	1
199	0	10000	1
300	0.8	10000	1
199	0	10000	1
300	0.9	10000	1
199	0	10000	1
300	1	10000	1
199	0	10000	1
300	1.1	10000	1
199	0	10000	1
300	1.2	10000	1
199	0	10000	1
300	1.3	10000	1
199	0	10000	1
300	1.4	10000	1
199	0	10000	1
300	1.5	10000	1
199	0	10000	1
300	1.6	10000	1
199	0	10000	1
300	1.7	10000	1
199	0	10000	1
300	1.8	10000	1
199	0	10000	1
300	1.9	10000	1
199	0	10000	1
300	2	10000	1
199	0	10000	1
